date,language,files,lines,code,comments,blanks
"1998-03-30","Total",0,1371464,938893,241231,191340
"1998-03-30","C",969,676823,491737,98190,86896
"1998-03-30","C++",473,395821,285473,51848,58500
"1998-03-30","C Header",1464,238717,125179,74836,38702
"1998-03-30","Makefile",262,24484,13900,6899,3685
"1998-03-30","Java",144,17422,9624,6000,1798
"1998-03-30","R",23,5464,4446,603,415
"1998-03-30","HTML",25,2616,2073,375,168
"1998-03-30","Module-Definition",30,2362,1301,794,267
"1998-03-30","JavaScript",14,2134,1603,307,224
"1998-03-30","Happy",1,1363,1199,0,164
"1998-03-30","Shell",11,1187,841,248,98
"1998-03-30","Perl",14,779,391,300,88
"1998-03-30","Plain Text",11,623,0,493,130
"1998-03-30","GNU Style Assembly",6,532,412,68,52
"1998-03-30","Assembly",1,379,284,71,24
"1998-03-30","SWIG",3,240,120,51,69
"1998-03-30","Emacs Lisp",3,216,148,58,10
"1998-03-30","INI",2,143,61,57,25
"1998-03-30","Batch",4,97,67,16,14
"1998-03-30","WebAssembly",1,38,30,0,8
"1998-03-30","TCL",1,24,4,17,3
"1998-04-06","Total",0,1371474,938903,241231,191340
"1998-04-06","C",969,676823,491737,98190,86896
"1998-04-06","C++",473,395831,285483,51848,58500
"1998-04-06","C Header",1464,238717,125179,74836,38702
"1998-04-06","Makefile",262,24484,13900,6899,3685
"1998-04-06","Java",144,17422,9624,6000,1798
"1998-04-06","R",23,5464,4446,603,415
"1998-04-06","HTML",25,2616,2073,375,168
"1998-04-06","Module-Definition",30,2362,1301,794,267
"1998-04-06","JavaScript",14,2134,1603,307,224
"1998-04-06","Happy",1,1363,1199,0,164
"1998-04-06","Shell",11,1187,841,248,98
"1998-04-06","Perl",14,779,391,300,88
"1998-04-06","Plain Text",11,623,0,493,130
"1998-04-06","GNU Style Assembly",6,532,412,68,52
"1998-04-06","Assembly",1,379,284,71,24
"1998-04-06","SWIG",3,240,120,51,69
"1998-04-06","Emacs Lisp",3,216,148,58,10
"1998-04-06","INI",2,143,61,57,25
"1998-04-06","Batch",4,97,67,16,14
"1998-04-06","WebAssembly",1,38,30,0,8
"1998-04-06","TCL",1,24,4,17,3
"1998-04-13","Total",0,1436642,981063,252155,203424
"1998-04-13","C",982,680453,495504,97826,87123
"1998-04-13","C++",503,407560,292518,54485,60557
"1998-04-13","C Header",1506,242481,127692,75413,39376
"1998-04-13","HTML",225,27285,17720,4254,5311
"1998-04-13","Makefile",268,26961,15303,7454,4204
"1998-04-13","Java",158,19774,11086,6513,2175
"1998-04-13","JavaScript",85,18505,11878,3329,3298
"1998-04-13","R",23,5464,4446,603,415
"1998-04-13","Module-Definition",34,2487,1331,878,278
"1998-04-13","Happy",1,1363,1199,0,164
"1998-04-13","Shell",11,1187,841,248,98
"1998-04-13","Perl",14,779,391,300,88
"1998-04-13","Plain Text",11,627,0,497,130
"1998-04-13","GNU Style Assembly",6,532,412,68,52
"1998-04-13","Assembly",1,379,284,71,24
"1998-04-13","SWIG",3,240,120,51,69
"1998-04-13","Emacs Lisp",3,216,148,58,10
"1998-04-13","INI",3,190,89,74,27
"1998-04-13","Batch",4,97,67,16,14
"1998-04-13","WebAssembly",1,38,30,0,8
"1998-04-13","TCL",1,24,4,17,3
"1998-04-20","Total",0,1640564,1113897,297421,229246
"1998-04-20","C",998,689519,501983,99062,88474
"1998-04-20","C++",769,540132,385034,78108,76990
"1998-04-20","C Header",1837,281233,144921,91020,45292
"1998-04-20","HTML",520,40060,28770,5150,6140
"1998-04-20","Makefile",327,29815,16616,8490,4709
"1998-04-20","Java",186,24492,13911,7740,2841
"1998-04-20","JavaScript",89,18769,12000,3422,3347
"1998-04-20","R",23,5464,4446,603,415
"1998-04-20","Module-Definition",34,2487,1331,878,278
"1998-04-20","CSS",66,2406,1208,1137,61
"1998-04-20","Happy",1,1363,1199,0,164
"1998-04-20","Shell",11,1187,841,248,98
"1998-04-20","Plain Text",15,1019,0,889,130
"1998-04-20","Perl",15,881,463,319,99
"1998-04-20","GNU Style Assembly",6,532,412,68,52
"1998-04-20","Assembly",1,379,284,71,24
"1998-04-20","SWIG",3,240,120,51,69
"1998-04-20","Emacs Lisp",3,216,148,58,10
"1998-04-20","INI",3,190,89,74,27
"1998-04-20","Batch",5,118,87,16,15
"1998-04-20","WebAssembly",1,38,30,0,8
"1998-04-20","TCL",1,24,4,17,3
"1998-04-27","Total",0,1725624,1176910,309526,239188
"1998-04-27","C",1046,743122,545863,103635,93624
"1998-04-27","C++",779,552908,392793,81334,78781
"1998-04-27","C Header",1912,295595,152562,95342,47691
"1998-04-27","HTML",521,40062,28774,5149,6139
"1998-04-27","Makefile",306,32404,19028,8287,5089
"1998-04-27","Java",193,25681,14774,7908,2999
"1998-04-27","JavaScript",93,18866,12101,3413,3352
"1998-04-27","R",23,5464,4446,603,415
"1998-04-27","Module-Definition",35,2680,1519,864,297
"1998-04-27","CSS",66,2418,1218,1137,63
"1998-04-27","Happy",1,1363,1199,0,164
"1998-04-27","Shell",11,1187,841,248,98
"1998-04-27","Plain Text",17,1079,0,932,147
"1998-04-27","Perl",15,882,464,319,99
"1998-04-27","GNU Style Assembly",8,690,550,68,72
"1998-04-27","Assembly",1,379,284,71,24
"1998-04-27","SWIG",3,240,120,51,69
"1998-04-27","Emacs Lisp",3,216,148,58,10
"1998-04-27","INI",3,190,89,74,27
"1998-04-27","Batch",6,136,103,16,17
"1998-04-27","WebAssembly",1,38,30,0,8
"1998-04-27","TCL",1,24,4,17,3
"1998-05-04","Total",0,1857914,1269735,331873,256306
"1998-05-04","C",1127,847463,622773,117930,106760
"1998-05-04","C++",805,564865,401597,82917,80351
"1998-05-04","C Header",2006,304664,156720,98945,48999
"1998-05-04","HTML",526,40247,28847,5238,6162
"1998-05-04","Makefile",404,37842,21172,10723,5947
"1998-05-04","Java",193,25918,14925,7941,3052
"1998-05-04","JavaScript",98,19168,12286,3527,3355
"1998-05-04","R",23,5464,4446,603,415
"1998-05-04","Module-Definition",35,2680,1519,864,297
"1998-05-04","CSS",68,2464,1235,1165,64
"1998-05-04","Perl",21,1592,845,486,261
"1998-05-04","Happy",1,1363,1199,0,164
"1998-05-04","Shell",11,1188,842,247,99
"1998-05-04","Plain Text",17,1079,0,932,147
"1998-05-04","GNU Style Assembly",8,693,550,68,75
"1998-05-04","Assembly",1,379,284,71,24
"1998-05-04","SWIG",3,240,120,51,69
"1998-05-04","Emacs Lisp",3,216,148,58,10
"1998-05-04","INI",3,191,90,74,27
"1998-05-04","Batch",6,136,103,16,17
"1998-05-04","WebAssembly",1,38,30,0,8
"1998-05-04","TCL",1,24,4,17,3
"1998-05-11","Total",0,1867206,1276652,333007,257547
"1998-05-11","C",1133,848633,623832,117933,106868
"1998-05-11","C++",809,569329,405597,82762,80970
"1998-05-11","C Header",2018,306924,157651,99939,49334
"1998-05-11","HTML",526,40251,28850,5238,6163
"1998-05-11","Makefile",416,39190,21826,11101,6263
"1998-05-11","Java",193,25918,14925,7941,3052
"1998-05-11","JavaScript",98,19196,12538,3443,3215
"1998-05-11","R",23,5464,4446,603,415
"1998-05-11","Module-Definition",35,2680,1519,864,297
"1998-05-11","CSS",68,2482,1253,1163,66
"1998-05-11","Perl",21,1592,845,486,261
"1998-05-11","Happy",1,1363,1199,0,164
"1998-05-11","Shell",11,1188,842,247,99
"1998-05-11","Plain Text",17,1079,0,932,147
"1998-05-11","GNU Style Assembly",8,693,550,68,75
"1998-05-11","Assembly",1,379,284,71,24
"1998-05-11","SWIG",3,240,120,51,69
"1998-05-11","Emacs Lisp",3,216,148,58,10
"1998-05-11","INI",3,191,90,74,27
"1998-05-11","Batch",6,136,103,16,17
"1998-05-11","WebAssembly",1,38,30,0,8
"1998-05-11","TCL",1,24,4,17,3
"1998-05-18","Total",0,1808893,1233361,325707,249825
"1998-05-18","C",1077,782166,575342,108599,98225
"1998-05-18","C++",826,576398,410542,84142,81714
"1998-05-18","C Header",1987,307956,157885,100578,49493
"1998-05-18","HTML",527,40307,28900,5238,6169
"1998-05-18","Makefile",416,39162,21788,11112,6262
"1998-05-18","Java",193,25918,14925,7941,3052
"1998-05-18","JavaScript",98,19197,12539,3443,3215
"1998-05-18","R",23,5464,4446,603,415
"1998-05-18","Module-Definition",35,2680,1519,864,297
"1998-05-18","CSS",68,2478,1251,1163,64
"1998-05-18","Perl",22,1639,858,502,279
"1998-05-18","Happy",1,1363,1199,0,164
"1998-05-18","Shell",11,1188,842,247,99
"1998-05-18","Plain Text",17,1084,0,937,147
"1998-05-18","GNU Style Assembly",8,693,550,68,75
"1998-05-18","Assembly",1,379,284,71,24
"1998-05-18","SWIG",3,240,120,51,69
"1998-05-18","Emacs Lisp",3,216,148,58,10
"1998-05-18","INI",3,191,90,74,27
"1998-05-18","Batch",6,136,103,16,17
"1998-05-18","WebAssembly",1,38,30,0,8
"1998-05-25","Total",0,1829531,1247397,328806,253328
"1998-05-25","C",1079,784750,577238,108950,98562
"1998-05-25","C++",851,590431,421048,85340,84043
"1998-05-25","C Header",2021,311304,159317,101969,50018
"1998-05-25","HTML",527,40332,28752,5221,6359
"1998-05-25","Makefile",422,39498,21954,11211,6333
"1998-05-25","Java",193,25918,14925,7941,3052
"1998-05-25","JavaScript",98,19197,12539,3443,3215
"1998-05-25","R",23,5464,4446,603,415
"1998-05-25","Module-Definition",36,2701,1524,878,299
"1998-05-25","CSS",68,2494,1265,1163,66
"1998-05-25","Perl",24,1884,1023,541,320
"1998-05-25","Happy",1,1363,1199,0,164
"1998-05-25","Shell",11,1188,842,247,99
"1998-05-25","Plain Text",18,1114,0,961,153
"1998-05-25","GNU Style Assembly",8,693,550,68,75
"1998-05-25","Assembly",1,379,284,71,24
"1998-05-25","SWIG",3,240,120,51,69
"1998-05-25","Emacs Lisp",3,216,148,58,10
"1998-05-25","INI",3,191,90,74,27
"1998-05-25","Batch",6,136,103,16,17
"1998-05-25","WebAssembly",1,38,30,0,8
"1998-06-01","Total",0,1940247,1311331,361473,267443
"1998-06-01","C",1158,819388,602303,114072,103013
"1998-06-01","C++",920,624094,444201,91949,87944
"1998-06-01","C Header",2182,349741,172221,122300,55220
"1998-06-01","Makefile",432,41035,22996,11474,6565
"1998-06-01","HTML",530,40832,29225,5221,6386
"1998-06-01","Java",193,25918,14930,7933,3055
"1998-06-01","JavaScript",99,19462,12723,3493,3246
"1998-06-01","R",24,5474,4455,603,416
"1998-06-01","Module-Definition",39,3437,2144,958,335
"1998-06-01","Perl",29,2615,1485,605,525
"1998-06-01","CSS",70,2544,1282,1196,66
"1998-06-01","Happy",1,1363,1199,0,164
"1998-06-01","Plain Text",19,1263,0,1084,179
"1998-06-01","Shell",11,1188,842,247,99
"1998-06-01","GNU Style Assembly",8,693,550,68,75
"1998-06-01","Assembly",1,379,284,71,24
"1998-06-01","SWIG",3,240,120,51,69
"1998-06-01","Emacs Lisp",3,216,148,58,10
"1998-06-01","INI",3,191,90,74,27
"1998-06-01","Batch",6,136,103,16,17
"1998-06-01","WebAssembly",1,38,30,0,8
"1998-06-08","Total",0,2001216,1355532,365102,280582
"1998-06-08","C",1166,825949,607458,114563,103928
"1998-06-08","C++",941,637323,454478,93335,89510
"1998-06-08","C Header",2218,355467,175484,123713,56270
"1998-06-08","HTML",531,74592,53618,5221,15753
"1998-06-08","Makefile",444,42221,23752,11710,6759
"1998-06-08","Java",194,26385,15250,8030,3105
"1998-06-08","JavaScript",99,19472,12744,3493,3235
"1998-06-08","R",24,5476,4457,603,416
"1998-06-08","Module-Definition",39,3437,2144,958,335
"1998-06-08","Perl",29,2666,1509,625,532
"1998-06-08","CSS",70,2508,1260,1182,66
"1998-06-08","Happy",1,1363,1199,0,164
"1998-06-08","Plain Text",19,1263,0,1084,179
"1998-06-08","Shell",11,1201,854,247,100
"1998-06-08","GNU Style Assembly",8,693,550,68,75
"1998-06-08","Assembly",1,379,284,71,24
"1998-06-08","SWIG",3,240,120,51,69
"1998-06-08","Emacs Lisp",3,216,148,58,10
"1998-06-08","INI",3,191,90,74,27
"1998-06-08","Batch",6,136,103,16,17
"1998-06-08","WebAssembly",1,38,30,0,8
"1998-06-15","Total",0,2010833,1361863,366866,282104
"1998-06-15","C",1169,826900,608051,114810,104039
"1998-06-15","C++",949,642130,457739,94138,90253
"1998-06-15","C Header",2226,357010,176281,124177,56552
"1998-06-15","HTML",533,74930,53930,5221,15779
"1998-06-15","Makefile",445,42489,23919,11768,6802
"1998-06-15","Java",194,26385,15250,8030,3105
"1998-06-15","JavaScript",99,19472,12744,3493,3235
"1998-06-15","R",24,5476,4457,603,416
"1998-06-15","Perl",36,4271,2644,804,823
"1998-06-15","Module-Definition",39,3437,2144,958,335
"1998-06-15","CSS",70,2522,1274,1182,66
"1998-06-15","Happy",1,1363,1199,0,164
"1998-06-15","Shell",14,1292,906,260,126
"1998-06-15","Plain Text",19,1263,0,1084,179
"1998-06-15","GNU Style Assembly",8,693,550,68,75
"1998-06-15","Assembly",1,379,284,71,24
"1998-06-15","SWIG",3,240,120,51,69
"1998-06-15","Emacs Lisp",3,216,148,58,10
"1998-06-15","INI",3,191,90,74,27
"1998-06-15","Batch",6,136,103,16,17
"1998-06-15","WebAssembly",1,38,30,0,8
"1998-06-22","Total",0,2048900,1386778,374496,287626
"1998-06-22","C",1183,836482,614729,116369,105384
"1998-06-22","C++",962,656469,467340,96935,92194
"1998-06-22","C Header",2252,362781,179054,126159,57568
"1998-06-22","HTML",547,76557,55369,5225,15963
"1998-06-22","Makefile",452,43038,24207,11930,6901
"1998-06-22","Java",194,26385,15250,8030,3105
"1998-06-22","JavaScript",99,19473,12744,3494,3235
"1998-06-22","Perl",62,8491,5417,1614,1460
"1998-06-22","R",24,5476,4457,603,416
"1998-06-22","Module-Definition",39,3437,2144,958,335
